CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
DAÑOS,01/21/2022 12:00:00 AM,"2,022",1899-12-31T23:30:00.000,NOCHE,VIERNES,CUIDAD DEL CAMPO,CALLE 101 CARRERA 32,URBANA,TECNICO,3.4572,-76.46466,REVERSO IMPRUDENTE,134,NO APLICA,CHOQUE,24,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/23/2022 12:00:00 AM,"2,022",1899-12-31T00:40:00.000,MADRUGADA,DOMINGO,SANTA ISABEL,CARRERA 30 CALLE 43,URBANA,TECNICO,3.53886,-76.29867,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,38,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/23/2022 12:00:00 AM,"2,022",1899-12-31T00:40:00.000,MADRUGADA,DOMINGO,SANTA ISABEL,CARRERA 30 CALLE 43,URBANA,TECNICO,3.53886,-76.29867,GIRAR BRUSCAMENTE,122,NO APLICA,CHOQUE,22,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/23/2022 12:00:00 AM,"2,022",1899-12-31T03:00:00.000,MADRUGADA,DOMINGO,ZAMORANO,CARRERA 28 CALLE 69-79,URBANA,TECNICO,3.55641,-76.2916,PERDIDA DEL CONTROL DEL VEHICULO,157,NO APLICA,VOLCAMIENTO,17,FEMENINA,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/23/2022 12:00:00 AM,"2,022",1899-12-31T04:50:00.000,MADRUGADA,DOMINGO,OLIMPICO,CALLE 27 CARRERA 34-09,URBANA,TECNICO,3.52532,-76.30536,REALIZAR GIRO A LA IZQUIERDA SIN PRECAUCION,157,NO APLICA,CHOQUEOBJETO FIJO INMUEBLE,60,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/24/2022 12:00:00 AM,"2,022",1899-12-31T18:00:00.000,NOCHE,LUNES,MERCEDES,CALLE 55 CARRERA 26,URBANA,TECNICO,3.54695,-76.29117,FRENAR BRUSCAMENTE,119,NO APLICA,CHOQUE,23,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/24/2022 12:00:00 AM,"2,022",1899-12-31T18:00:00.000,NOCHE,LUNES,MERCEDES,CALLE 55 CARRERA 26,URBANA,TECNICO,3.54695,-76.29117,FRENAR BRUSCAMENTE,119,NO APLICA,CHOQUE,32,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/25/2022 12:00:00 AM,"2,022",1899-12-31T16:00:00.000,TARDE,MARTES,ESTONIA,CALLE 42 CARRERA 32B,URBANA,TECNICO,3.53845,-76.30179,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,41,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PUBLICO,N/A
DAÑOS,01/25/2022 12:00:00 AM,"2,022",1899-12-31T16:00:00.000,TARDE,MARTES,ESTONIA,CALLE 42 CARRERA 32B,URBANA,TECNICO,3.53845,-76.30179,NO ESTAR PENDIENTE DE LA VIA,157,NO APLICA,CHOQUE,36,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
DAÑOS,01/26/2022 12:00:00 AM,"2,022",1899-12-31T08:20:00.000,MAÑANA,MIERCOLES,CENTRO,CALLE 31 CARRERA 24,URBANA,TECNICO,3.52755,-76.29544,SEMAFOROS CON DAÑOS,157,NO APLICA,CHOQUE,74,MASCULINO,NO APLICA,N/A,N/A,N/A,N/A,PARTICULAR,N/A
